Name,Class,Ship Type,Navy,Navy Acronym,Country,Launch Year,Launch Note
Grom,Grom-class Destroyer,Destroyer,Polish Navy,PMW,Poland,1936,Actual
Grouper,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Growler,Gato-class Submarine,Submarine,United States Navy,USN,United States,1941,Actual
Grunion,Gato-class Submarine,Submarine,United States Navy,USN,United States,1941,Actual
Guam,Alaska-class Large Cruiser,Large Cruiser,United States Navy,USN,United States,1943,Actual
Guardfish,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Guavina,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Gudgeon,Tambor-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Guitarro,Gato-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Gulland,Isles-class Trawler,Trawler,Royal Navy,RN,United Kingdom,1943,Actual
Gunnel,Gato-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Gurnard,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
H (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
H (Planned),H-class Battleship,Battleship,Kriegsmarine,KM,Germany,1941,"(Projected, not actual)"
H (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
Ha-101,Type SS-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,1944,Actual
Ha-102,Type SS-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,1944,Actual
Ha-104,Type SS-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,1944,Actual
Ha-19,Type A-class Midget Submarine,Midget Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
Hackleback,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Haddo,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Haddock,Gato-class Submarine,Submarine,United States Navy,USN,United States,1941,Actual
Haguro,Myoko-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1928,Actual
Haichen,Hairong-class Protected Cruiser,Protected Cruiser,Republic of China Navy,ROCN,China,,No Data
Haichou,Hairong-class Protected Cruiser,Protected Cruiser,Republic of China Navy,ROCN,China,1897,Actual
Haiqi,Haitien-class Protected Cruiser,Protected Cruiser,Republic of China Navy,ROCN,China,,No Data
Hairong,Hairong-class Protected Cruiser,Protected Cruiser,Republic of China Navy,ROCN,China,1897,Actual
Hake,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Hakusan Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,1918,Actual
Halibut,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Hamakaze,Kagero-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,,No Data
Hamilton,Wickes-class Destroyer,Destroyer,United States Navy,USN,United States,1919,Actual
Hammann,Sims-class Destroyer,Destroyer,United States Navy,USN,United States,1939,Actual
Hammerhead,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Hancock,Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1944,Actual
Hans Albrecht Wedel,Hans Albrecht Wedel-class Seaplane Tender,Seaplane Tender,Kriegsmarine,KM,Germany,1940,Actual
Harder,Gato-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Hardhead,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Haruna,Kongo-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1913,Actual
Hatsuzakura,Tachibana-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,,No Data
Havelland,Dithmarschen-class Auxiliary,Auxiliary,Kriegsmarine,KM,Germany,,No Data
Hawkbill,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Hela,Hela-class Tender,Tender,Kriegsmarine,KM,Germany,1938,Actual
Helena (Baltimore-class),Baltimore-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,,No Data
Helena (St. Louis-class),St. Louis-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1939,Actual
Helm,Bagley-class Destroyer,Destroyer,United States Navy,USN,United States,1937,Actual
Henley,Bagley-class Destroyer,Destroyer,United States Navy,USN,United States,1937,Actual
Herbert Norkus,Gorch Fock-class Barque,Barque,Kriegsmarine,KM,Germany,1939,Actual
Hermann KÃ¶hl,Hans Albrecht Wedel-class Seaplane Tender,Seaplane Tender,Kriegsmarine,KM,Germany,,No Data
Hermes,Hermes-class Light Carrier,Light Carrier,Royal Navy,RN,United Kingdom,1919,Actual
Herring,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Hiei,Kongo-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1912,Actual
Hikawa Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,1929,Actual
Hiryu,Soryu-class Aircraft Carrier,Aircraft Carrier,Imperial Japanese Navy,IJN,Japan,1937,Actual
Hiyo,Hiyo-class Escort Carrier,Escort Carrier,Imperial Japanese Navy,IJN,Japan,1941,Actual
Hobart,Leander-class Light Cruiser,Light Cruiser,Royal Australian Navy,RAN,Australia,,No Data
Hoe,Gato-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Hoel,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Holland,Holland-class Submarine Tender,Submarine Tender,United States Navy,USN,United States,1926,Actual
Honolulu,Brooklyn-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,,No Data
Hood,Admiral-class Battlecruiser,Battlecruiser,Royal Navy,RN,United Kingdom,1918,Actual
Hornet (Essex-class),Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1943,Actual
Hornet (Yorktown-class),Yorktown-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1940,Actual
Horst Wessel,Gorch Fock-class Barque,Barque,Kriegsmarine,KM,Germany,1936,Actual
Hosho,Hosho-class Light Carrier,Light Carrier,Imperial Japanese Navy,IJN,Japan,1921,Actual
Houston,Northampton-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1929,Actual
Howe,King George V (1939)-class Battleship,Battleship,Royal Navy,RN,United Kingdom,1940,Actual
Hulbert,Clemson-class Destroyer,Destroyer,United States Navy,USN,United States,1919,Actual
Hull,Farragut-class Destroyer,Destroyer,United States Navy,USN,United States,1934,Actual
Hyuga,Ise-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1917,Actual
I-14,Type AM-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,1944,Actual
I-369,Type D1-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,1944,Actual
I-400,I-400-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
I-401,I-400-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
I-402,I-400-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
I-52,C3-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
I-53,C3-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
I-58,Type B3-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,1943,Actual
I-58 / I-158,Kaidai-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,1925,Actual
I-68 / I-168,Kaidai-class Submarine,Submarine,Imperial Japanese Navy,IJN,Japan,1934,Actual
Ibuki,Ibuki-class Light Carrier,Light Carrier,Imperial Japanese Navy,IJN,Japan,1943,Actual
Icefish,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Ikazuchi,Akatsuki-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1932,Actual
Illustrious,Illustrious-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1939,Actual
Ilmarinen,VÃ¤inÃ¤mÃ¶inen-class Coastal Defense Ship,Coastal Defense Ship,Finnish Navy,FNM,Finland,1931,Actual
Iltis,1924-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1927,Actual
Impero,Vittorio Veneto-class Battleship,Battleship,Regia Marina,RM,Italy,1939,Actual
Independence,Independence-class Light Carrier,Light Carrier,United States Navy,USN,United States,1942,Actual
Indiana,South Dakota-class Battleship,Battleship,United States Navy,USN,United States,1941,Actual
Indianapolis,Portland-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1931,Actual
Indomitable,Illustrious-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1940,Actual
Intrepid,Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1943,Actual
Iowa,Iowa-class Battleship,Battleship,United States Navy,USN,United States,1942,Actual
Irako,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,1941,Actual
Iride,Perla-class Submarine,Submarine,Regia Marina,RM,Italy,1936,Actual
Irwin,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Isaac Sweers,Gerard Callenburgh-class Destroyer,Destroyer,Royal Netherlands Navy,RNN,Netherlands,1940,Actual
Ise,Ise-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1916,Actual
Isherwood,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Isuzu,Nagara-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1921,Actual
Itsukushima,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,1929,Actual
Iwate,Izumo-class Armored Cruiser,Armored Cruiser,Imperial Japanese Navy,IJN,Japan,1900,Actual
Izumo,Izumo-class Armored Cruiser,Armored Cruiser,Imperial Japanese Navy,IJN,Japan,1898,Actual
J (Planned),H-class Battleship,Battleship,Kriegsmarine,KM,Germany,1941,"(Projected, not actual)"
Jack,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Jaguar,1924-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1928,Actual
Jallao,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Jean Bart,Richelieu-class Battleship,Battleship,French Navy,MN,France,1940,Actual
Jean de Vienne,La GalissonniÃ¨re-class Light Cruiser,Light Cruiser,French Navy,MN,France,1935,Actual
Jeanne d'Arc,Jeanne d'Arc-class Light Cruiser,Light Cruiser,French Navy,MN,France,,No Data
Jintsu,Sendai-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1923,Actual
Johnston,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Juneau,Atlanta-class Light Cruiser,Light Cruiser,United States Navy,USN,United States,1941,Actual
Junyo,Hiyo-class Escort Carrier,Escort Carrier,Imperial Japanese Navy,IJN,Japan,1941,Actual
K (Planned),H-class Battleship,Battleship,Kriegsmarine,KM,Germany,1942,"(Projected, not actual)"
K1 (Planned),K1-class Gunboat,Gunboat,Kriegsmarine,KM,Germany,1941,"(Projected, not actual)"
K2 (Planned),K1-class Gunboat,Gunboat,Kriegsmarine,KM,Germany,1941,"(Projected, not actual)"
K3 (Planned),K1-class Gunboat,Gunboat,Kriegsmarine,KM,Germany,1941,"(Projected, not actual)"
K4 (Planned),K1-class Gunboat,Gunboat,Kriegsmarine,KM,Germany,1941,"(Projected, not actual)"
Kaga,Kaga-class Aircraft Carrier,Aircraft Carrier,Imperial Japanese Navy,IJN,Japan,1921,Actual
Kaganovich,Kirov-class Light Cruiser,Light Cruiser,Soviet Navy,VMF,Russia,1944,Actual
Kairyu-class Summary Information,Kairyu-class Midget Submarine,Midget Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
Kaiten-class Summary Information,Kaiten-class Midget Submarine,Midget Submarine,Imperial Japanese Navy,IJN,Japan,,No Data
Kaiyo,Kaiyo-class Escort Carrier,Escort Carrier,Imperial Japanese Navy,IJN,Japan,1938,Actual
Kako,Furutaka-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1925,Actual
Kalinin,Kirov-class Light Cruiser,Light Cruiser,Soviet Navy,VMF,Russia,1942,Actual
Kamikaze,Kamikaze-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1922,Actual
Kamoi,Kamoi-class Seaplane Tender,Seaplane Tender,Imperial Japanese Navy,IJN,Japan,1922,Actual
Karlsruhe,K-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1927,Actual
Kashi,Momo-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1916,Actual
Kashii,Katori-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1941,Actual
Kashima,Katori-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1939,Actual
Kasuga,Kasuga-class Armored Cruiser,Armored Cruiser,Imperial Japanese Navy,IJN,Japan,1902,Actual
Katori,Katori-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1939,Actual
Katsuragi,Unryu-class Aircraft Carrier,Aircraft Carrier,Imperial Japanese Navy,IJN,Japan,1943,Actual
Kelly,K-class Destroyer,Destroyer,Royal Navy,RN,United Kingdom,1938,Actual
Kembu Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,,No Data
Kete,Balao-class Submarine,Submarine,United States Navy,USN,United States,1944,Actual
Kikuzuki,Mutsuki-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1926,Actual
Kilkis,Mississippi-class Battleship,Battleship,Hellenic Navy,HN,Greece,,No Data
Kimberly,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Kinai Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,,No Data
King George V,King George V (1939)-class Battleship,Battleship,Royal Navy,RN,United Kingdom,1939,Actual
Kingfish,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Kinu,Nagara-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1922,Actual
Kinugasa,Furutaka-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1926,Actual
Kirishima,Kongo-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1913,Actual
Kirov,Kirov-class Light Cruiser,Light Cruiser,Soviet Navy,VMF,Russia,1936,Actual
Kiso,Kuma-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1920,Actual
Kitakami,Kuma-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1920,Actual
Kitty Hawk,Kitty Hawk-class Merchant Vessel,Merchant Vessel,United States Navy,USN,United States,1932,Actual
Komet,No Classification,No Classification,Kriegsmarine,KM,Germany,1936,Actual
Kondor,1923-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1926,Actual
Kongo,Kongo-class Battleship,Battleship,Imperial Japanese Navy,IJN,Japan,1913,Actual
Kormoran,No Classification,No Classification,Kriegsmarine,KM,Germany,1938,Actual
Kraken,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Kuala,No Classification,No Classification,Royal Navy,RN,United Kingdom,,No Data
Kuma,Kuma-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1919,Actual
Kumano,Mogami-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1936,Actual
Kurmark,No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
Kyne,Cannon-class Destroyer Escort,Destroyer Escort,United States Navy,USN,United States,1943,Actual
KÃ¶ln,K-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1928,Actual
KÃ¶nigsberg,K-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1927,Actual
L (Planned),H-class Battleship,Battleship,Kriegsmarine,KM,Germany,1940,"(Projected, not actual)"
La GalissonniÃ¨re,La GalissonniÃ¨re-class Light Cruiser,Light Cruiser,French Navy,MN,France,,No Data
La Motte-Picquet,Duguay-Trouin-class Light Cruiser,Light Cruiser,French Navy,MN,France,1924,Actual
Laffey (Allen M. Sumner-class),Allen M. Sumner-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Laffey (Benson-class),Benson-class Destroyer,Destroyer,United States Navy,USN,United States,1941,Actual
Lagarto,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Lamprey,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Lanciere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Langley (Independence-class),Independence-class Light Carrier,Light Carrier,United States Navy,USN,United States,1943,Actual
Langley (Langley-class),Langley-class Seaplane Tender,Seaplane Tender,United States Navy,USN,United States,,No Data
Lansdowne,Gleaves-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Lapon,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Lardner,Gleaves-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Lawrence,Clemson-class Destroyer,Destroyer,United States Navy,USN,United States,1920,Actual
LCI(L)-class Summary Information,LCI(L)-class Landing Ship,Landing Ship,United States Navy,USN,United States,,No Data
LCVP-class Summary Information,LCVP-class Landing Craft,Landing Craft,United States Navy,USN,United States,,No Data
Legionaro,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Leipzig,Leipzig-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1929,Actual
Lemnos,Mississippi-class Battleship,Battleship,Hellenic Navy,HN,Greece,1905,Actual
Leopard,1924-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1928,Actual
Leutze,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1942,Actual
Lexington (Essex-class),Essex-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1942,Actual
Lexington (Lexington-class),Lexington-class Aircraft Carrier,Aircraft Carrier,United States Navy,USN,United States,1925,Actual
Ling,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Lionfish,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Littorio,Vittorio Veneto-class Battleship,Battleship,Regia Marina,RM,Italy,1937,Actual
Lizardfish,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Loggerhead,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
London,County-class Heavy Cruiser,Heavy Cruiser,Royal Navy,RN,United Kingdom,1927,Actual
Long Island,Long Island-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1940,Actual
Lorraine,Bretagne-class Battleship,Battleship,French Navy,MN,France,1913,Actual
Louisville,Northampton-class Heavy Cruiser,Heavy Cruiser,United States Navy,USN,United States,1930,Actual
LST-1,LST-class Landing Ship,Landing Ship,United States Navy,USN,United States,1942,Actual
LST-412,LST-class Landing Ship,Landing Ship,Royal Navy,RN,United Kingdom,1942,Actual
Luce,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Luchs,1924-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1928,Actual
LÃ¼tzow,Admiral Hipper-class Heavy Cruiser,Heavy Cruiser,Kriegsmarine,KM,Germany,1939,Actual
M (Planned),H-class Battleship,Battleship,Kriegsmarine,KM,Germany,1942,"(Projected, not actual)"
M,No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
M (Planned),M-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1941,"(Projected, not actual)"
M (Planned),M-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1945,"(Projected, not actual)"
M1,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1937,Actual
M10,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1938,Actual
M101,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M102,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M103,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M104,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M107,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1918,Actual
M11,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1938,Actual
M12,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1938,Actual
M13,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1939,Actual
M131,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M132,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M133,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M14,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1939,Actual
M15,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1939,Actual
M151,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M152,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M153,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M154,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M155,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M156,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M16,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1939,Actual
M17,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1939,Actual
M18,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1939,Actual
M19,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1939,Actual
M2 (Planned),M2-class Light Cruiser,Light Cruiser,Kriegsmarine,KM,Germany,1947,"(Projected, not actual)"
M2,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1937,Actual
M20,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1939,Actual
M201,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M202,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M203,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M204,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M205,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M206,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M21,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1939,Actual
M22,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M23,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M24,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M25,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M251,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M252,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M253,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M254,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M255,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M256,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M26,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M261,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M262,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M263,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M264,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M265,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1943,Actual
M266,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1944,Actual
M267,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1944,Actual
M27,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M271,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M272,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M273,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M274,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M275,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1943,Actual
M276,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1943,Actual
M277,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1943,Actual
M278,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1944,Actual
M279,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1944,Actual
M28,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M280,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M29,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M291,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M292,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M293,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M294,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M295 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M296,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M297 (Planned),M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M3,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1937,Actual
M30,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M301,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M302,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M303,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M304,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M305,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M306,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M307,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M31,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M32,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1940,Actual
M321,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M322,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M323,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M324,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
M325,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M326,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1943,Actual
M327,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1943,Actual
M328,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1943,Actual
M329,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M33,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M330,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,,No Data
M34,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1942,Actual
M341,M-class Minesweeper,Minesweeper,Kriegsmarine,KM,Germany,1941,Actual
