Name,Class,Ship Type,Navy,Navy Acronym,Country,Launch Year,Launch Note
U-159,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-16,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-160,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-161,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-162,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-163,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-164,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-165,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-166,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-167,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-168,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-169,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-17,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-170,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-171,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-172,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-173,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-174,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-175,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-176,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-177,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-178,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-179,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-18,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-180,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-181,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-182,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-183,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-184,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-185,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-186,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-187,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-188,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-189,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-19,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-190,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-191,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-192,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-193,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-194,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-195,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-196,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-197,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,1942,Actual
U-198,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,0,Actual
U-199,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-2,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1935,Actual
U-20,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-200,Type IX-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-201,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1940,Actual
U-202,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-203,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-204,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-205,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-206,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-207,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-208,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-209,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-21,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-210,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-211,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-212,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-213,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-214,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,1941,Actual
U-215,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-216,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-217,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-218,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-22,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-226,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-228,Type VII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-23,Type II-class Submarine,Submarine,Kriegsmarine,KM,Germany,1936,Actual
U-2321,Type XXIII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-2322,Type XXIII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-2323,Type XXIII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
U-2324,Type XXIII-class Submarine,Submarine,Kriegsmarine,KM,Germany,,No Data
